Fase;Habilitante;Nombre habilitante;IGIF habilitante;Verificable;Criterio;IGIF verificable
1;1;Referente geoespacial reconocido;IGIF 1 · Gobernanza e instituciones;01.1;La institución identifica una persona, equipo o función que actúa como referente para iniciar o acompañar el trabajo geoespacial.;IGIF 1 · Gobernanza e instituciones
1;1;Referente geoespacial reconocido;IGIF 1 · Gobernanza e instituciones;01.2;Existe un medio vigente para contactar y coordinar con ese referente.;IGIF 1 · Gobernanza e instituciones
1;2;Iniciativa geoespacial expresada;IGIF 9 · Comunicación y compromiso;02.1;La institución expresa una pregunta, necesidad o temática que desea abordar con información geoespacial.;IGIF 9 · Comunicación y compromiso
1;2;Iniciativa geoespacial expresada;IGIF 9 · Comunicación y compromiso;02.2;Se ha realizado una primera gestión para explorar esa iniciativa.;IGIF 9 · Comunicación y compromiso
2;3;Necesidad y primer trabajo definidos;IGIF 1 · Gobernanza e instituciones | IGIF 4 · Datos;03.1;Se define qué se necesita conocer o resolver y quién utilizará el resultado.;IGIF 1 · Gobernanza e instituciones | IGIF 4 · Datos
2;3;Necesidad y primer trabajo definidos;IGIF 1 · Gobernanza e instituciones | IGIF 4 · Datos;03.2;Se acuerda el alcance inicial del trabajo.;IGIF 1 · Gobernanza e instituciones | IGIF 4 · Datos
2;4;Datos identificados y organizados;IGIF 4 · Datos;04.1;Se identifican los conjuntos de datos y sus fuentes necesarios para el trabajo priorizado.;IGIF 4 · Datos
2;4;Datos identificados y organizados;IGIF 4 · Datos;04.2;Los recursos disponibles están organizados y son accesibles para quienes realizan el trabajo.;IGIF 4 · Datos
2;5;Trabajo geoespacial coordinado;IGIF 1 · Gobernanza e instituciones | IGIF 8 · Capacidad y educación;05.1;Se reconoce quién aporta información, prepara el resultado y lo revisa o utiliza.;IGIF 1 · Gobernanza e instituciones | IGIF 8 · Capacidad y educación
2;5;Trabajo geoespacial coordinado;IGIF 1 · Gobernanza e instituciones | IGIF 8 · Capacidad y educación;05.2;Se ejecuta una tarea coordinada con un avance o resultado comprobable.;IGIF 1 · Gobernanza e instituciones | IGIF 8 · Capacidad y educación
2;6;Primer producto informativo útil;IGIF 5 · Innovación | IGIF 9 · Comunicación y compromiso;06.1;Existe un resultado geoespacial consultable que responde al primer trabajo definido.;IGIF 5 · Innovación
